Date,Predicted Price
2024-01-01,191.51118
2024-01-02,190.57883
2024-01-03,189.20834
2024-01-04,187.45583
2024-01-05,185.54387
2024-01-06,184.06172
2024-01-07,183.11572
2024-01-08,182.75446
2024-01-09,182.80714
2024-01-10,183.13585
2024-01-11,183.41896
2024-01-12,183.49725
2024-01-13,183.83527
2024-01-14,184.6552
2024-01-15,185.99442
2024-01-16,187.7002
2024-01-17,189.42323
2024-01-18,190.89337
2024-01-19,191.84404
2024-01-20,192.22675
2024-01-21,191.87047
2024-01-22,190.7124
2024-01-23,189.26678
2024-01-24,187.77019
2024-01-25,186.57257
2024-01-26,185.89494
2024-01-27,185.71062
2024-01-28,185.80681
2024-01-29,186.08476
2024-01-30,186.30656
2024-01-31,186.2531
2024-02-01,185.88988
2024-02-02,185.30583
2024-02-03,184.51875
2024-02-04,183.60721
2024-02-05,182.76059
2024-02-06,182.23074
2024-02-07,181.89195
2024-02-08,181.59302
2024-02-09,181.4197
2024-02-10,181.27162
2024-02-11,181.08344
2024-02-12,180.78233
2024-02-13,180.0655
2024-02-14,178.67613
2024-02-15,176.78734
2024-02-16,174.71895
2024-02-17,172.89061
2024-02-18,171.63274
2024-02-19,171.00992
2024-02-20,170.76244
2024-02-21,170.87674
2024-02-22,171.19977
2024-02-23,171.68925
2024-02-24,172.41869
2024-02-25,173.47102
2024-02-26,174.14207
2024-02-27,174.39108
2024-02-28,174.18239
2024-02-29,173.57213
2024-03-01,173.00122
2024-03-02,172.47382
2024-03-03,171.92625
2024-03-04,171.30347
2024-03-05,170.718
2024-03-06,170.16875
2024-03-07,169.7465
2024-03-08,169.38744
2024-03-09,169.17769
2024-03-10,168.97218
2024-03-11,169.28384
2024-03-12,170.17642
2024-03-13,171.15752
2024-03-14,171.75725
2024-03-15,171.8083
2024-03-16,171.34276
2024-03-17,170.40318
2024-03-18,169.2731
2024-03-19,168.2403
2024-03-20,167.58798
2024-03-21,167.40009
2024-03-22,167.54517
2024-03-23,168.19347
2024-03-24,168.95483
2024-03-25,169.56897
2024-03-26,170.22931
2024-03-27,171.68228
2024-03-28,173.65308
2024-03-29,175.83835
2024-03-30,177.93536
2024-03-31,179.85172
2024-04-01,181.32866
2024-04-02,182.55911
2024-04-03,183.63545
2024-04-04,184.71602
2024-04-05,185.75307
2024-04-06,186.66469
2024-04-07,187.4794
2024-04-08,188.26025
2024-04-09,188.84918
2024-04-10,188.90575
2024-04-11,188.75067
2024-04-12,188.51974
2024-04-13,188.32133
2024-04-14,188.27113
2024-04-15,188.43472
2024-04-16,188.89359
2024-04-17,189.56668
2024-04-18,190.43788
2024-04-19,191.25601
2024-04-20,192.10332
2024-04-21,192.6068
2024-04-22,193.87099
2024-04-23,196.26677
2024-04-24,199.45395
2024-04-25,202.68034
2024-04-26,205.80426
2024-04-27,208.29268
2024-04-28,209.60387
2024-04-29,209.6861
2024-04-30,208.95088
2024-05-01,207.87634
2024-05-02,207.11606
2024-05-03,206.85545
